question,intention_attendue,intention_predite,correct,confiance,reponse
Quel est le chiffre d'affaires total ?,question_kpi,question_kpi,True,0.95,"Le chiffre d'affaires total sur la période est de 811,669.60 €."
Combien de commandes au total ?,question_kpi,question_kpi,True,0.95,"Il y a eu 3,155 commandes sur la période."
Quel est le panier moyen ?,question_kpi,question_kpi,True,0.95,Le panier moyen est de 257.26 €.
Quels sont les produits les plus vendus ?,question_kpi,question_kpi,True,0.95,Le produit le plus vendu est « Casque Bluetooth Pro ».
Quelle catégorie rapporte le plus ?,question_kpi,question_kpi,True,0.95,La catégorie qui génère le plus de CA est « Electronique ».
Combien de clients actifs ?,question_kpi,question_kpi,True,0.95,Il y a 372 clients actifs sur la période.
Combien de clients sont inactifs ?,question_kpi,question_kpi,True,0.95,Il y a 32 clients inactifs (dernier achat avant mars 2025).
Quel mois a eu les meilleures ventes ?,question_tendance,question_tendance,True,0.9,"Le meilleur mois est 2025-12 (CA de 113,093.70 €)."
Comment évoluent les ventes sur l'année ?,question_tendance,question_tendance,True,0.9,"Le meilleur mois est 2025-12 (CA de 113,093.70 €)."
Y a-t-il une saisonnalité ?,question_tendance,question_tendance,True,0.9,"Le meilleur mois est 2025-12 (CA de 113,093.70 €)."
Y a-t-il des anomalies dans les ventes ?,question_anomalie,question_anomalie,True,0.9,12 commandes présentent une anomalie (prix incohérent vs catalogue).
Détecte les commandes suspectes,question_anomalie,question_anomalie,True,0.9,12 commandes présentent une anomalie (prix incohérent vs catalogue).
Quels sont les délais de livraison ?,question_documentaire,question_documentaire,True,0.422,La livraison standard est effectuée sous 3 à 5 jours ouvrés. La livraison expres
Comment faire un retour ?,question_documentaire,question_documentaire,True,0.331,Vous disposez de 30 jours après réception pour retourner un article. Le produit
Quelle est la garantie sur l'électronique ?,question_documentaire,question_documentaire,True,0.338,Tous les produits électroniques bénéficient d'une garantie constructeur de 2 ans
Quels moyens de paiement acceptez-vous ?,question_documentaire,question_documentaire,True,0.283,"Nous acceptons la carte bancaire, PayPal, le virement et les chèques cadeaux."
Bonjour !,question_generale,question_generale,True,0.4,Bonjour ! Je suis l'assistant d'analyse e-commerce. Posez-moi une question sur l
Merci beaucoup,question_generale,question_generale,True,0.4,Avec plaisir !
Qui es-tu ?,question_generale,question_generale,True,0.4,"Je peux répondre à des questions métier (CA, produits populaires, meilleur mois,"
Quelle est la météo demain ?,question_generale,question_generale,True,0.4,Je n'ai pas bien compris la question. Essayez par exemple : « Quel est le chiffr
