id_commande,date,id_client,produit,categorie,quantite,prix_unitaire,remise,montant,region,canal,moyen_paiement
100002,2025-12-15,CLI0024,Baskets running AirLite,Mode,1,89,0.0,89.0,PACA,Mobile,Carte
100005,2025-05-02,CLI0233,Set de couteaux ChefPro,Maison,1,69,0.0,69.0,Auvergne-Rhone-Alpes,Mobile,Virement
100006,2025-03-29,CLI0137,Ordinateur portable UltraBook,Electronique,1,1099,0.0,1099.0,Hauts-de-France,Magasin,PayPal
100011,2025-12-10,CLI0167,Casque Bluetooth Pro,Electronique,2,129,0.0,258.0,Auvergne-Rhone-Alpes,Web,Virement
100012,2025-07-11,CLI0034,Jean slim,Mode,3,59,0.0,177.0,Hauts-de-France,Magasin,Virement
100013,2025-11-10,CLI0256,Lampe LED design,Maison,1,39,0.0,39.0,Bretagne,Mobile,PayPal
100014,2025-02-18,CLI0127,Veste impermeable,Mode,1,79,0.0,79.0,Bretagne,Magasin,Cheque cadeau
100018,2025-06-24,CLI0253,Ordinateur portable UltraBook,Electronique,1,1099,0.0,1099.0,PACA,Web,Carte
100022,2025-11-03,CLI0306,Casse-tete 1000 pieces,Culture,1,19,0.0,19.0,Hauts-de-France,Mobile,Carte
100025,2025-11-12,CLI0394,Aspirateur robot CleanBot,Maison,1,299,0.0,299.0,Ile-de-France,Mobile,Cheque cadeau
100026,2025-12-12,CLI0002,Veste impermeable,Mode,1,79,0.0,79.0,Hauts-de-France,Web,Carte
100028,2025-02-04,CLI0328,Parfum Eau Fraiche,Beaute,2,55,0.0,110.0,Hauts-de-France,Web,PayPal
100029,2025-12-26,CLI0083,Parfum Eau Fraiche,Beaute,2,55,0.0,110.0,Ile-de-France,Magasin,Virement
100033,2025-11-06,CLI0158,Baskets running AirLite,Mode,1,89,0.0,89.0,Ile-de-France,Web,Carte
100034,2025-02-13,CLI0249,Ordinateur portable UltraBook,Electronique,2,1099,0.1,1978.2,PACA,Magasin,PayPal
100035,2025-09-27,CLI0244,T-shirt coton bio,Mode,1,25,0.0,25.0,Occitanie,Magasin,Cheque cadeau
100041,2025-07-27,CLI0344,Set de couteaux ChefPro,Maison,1,69,0.0,69.0,Nouvelle-Aquitaine,Magasin,Cheque cadeau
100042,2025-10-07,CLI0116,Ordinateur portable UltraBook,Electronique,1,1099,0.0,1099.0,Occitanie,Web,PayPal
100044,2025-06-06,CLI0363,Casque Bluetooth Pro,Electronique,2,129,0.0,258.0,Auvergne-Rhone-Alpes,Web,Carte
100045,2025-11-23,CLI0037,Parfum Eau Fraiche,Beaute,1,55,0.0,55.0,Auvergne-Rhone-Alpes,Mobile,Cheque cadeau
100046,2025-05-16,CLI0068,Creme hydratante,Beaute,1,22,0.0,22.0,Auvergne-Rhone-Alpes,Mobile,Cheque cadeau
100049,2025-10-16,CLI0211,Casse-tete 1000 pieces,Culture,1,19,0.1,17.1,,Magasin,Carte
100052,2025-05-15,CLI0207,Aspirateur robot CleanBot,Maison,2,299,0.0,598.0,PACA,Web,PayPal
100053,2025-02-02,CLI0275,Casse-tete 1000 pieces,Culture,1,19,0.0,19.0,Auvergne-Rhone-Alpes,Mobile,PayPal
100054,2025-08-04,CLI0128,Ordinateur portable UltraBook,Electronique,1,1099,0.0,1099.0,Nouvelle-Aquitaine,Magasin,Carte
100055,2025-08-02,CLI0277,Smartphone Galaxy S,Electronique,2,799,0.0,1598.0,Ile-de-France,Web,PayPal
100056,2025-04-11,CLI0247,Jean slim,Mode,3,59,0.0,177.0,PACA,Mobile,Carte
100057,2025-01-05,CLI0002,Lampe LED design,Maison,1,39,0.0,39.0,Occitanie,Mobile,Virement
100058,2025-12-25,CLI0375,Creme hydratante,Beaute,1,22,0.0,22.0,Auvergne-Rhone-Alpes,Web,Virement
100059,2025-12-12,CLI0030,Casque Bluetooth Pro,Electronique,1,129,0.0,129.0,Bretagne,Mobile,Carte
100060,2025-03-04,CLI0245,Parfum Eau Fraiche,Beaute,2,55,0.0,110.0,,Magasin,PayPal
100061,2025-04-06,CLI0261,Ordinateur portable UltraBook,Electronique,1,1099,0.0,1099.0,PACA,Web,Carte
100064,2025-05-23,CLI0062,Baskets running AirLite,Mode,2,89,0.0,178.0,Hauts-de-France,Magasin,Carte
100066,2025-11-23,CLI0299,Parfum Eau Fraiche,Beaute,1,55,0.0,55.0,Occitanie,Mobile,PayPal
100071,2025-05-14,CLI0162,Ordinateur portable UltraBook,Electronique,1,1099,0.0,1099.0,Ile-de-France,Mobile,Carte
100072,2025-12-06,CLI0110,Parfum Eau Fraiche,Beaute,2,55,0.0,110.0,Occitanie,Web,Virement
100074,2025-08-19,CLI0081,Casse-tete 1000 pieces,Culture,2,19,0.0,38.0,PACA,Magasin,Virement
100078,2025-08-21,CLI0284,Cafetiere expresso,Maison,1,149,0.0,149.0,Bretagne,Web,PayPal
100079,2025-05-17,CLI0055,Enceinte SoundBox,Electronique,1,89,0.0,89.0,Occitanie,Mobile,PayPal
100081,2025-06-21,CLI0325,Veste impermeable,Mode,1,79,0.0,79.0,Hauts-de-France,Mobile,Virement
100086,2025-04-23,CLI0171,Enceinte SoundBox,Electronique,1,89,0.0,89.0,Bretagne,Mobile,PayPal
100088,2025-10-22,CLI0219,Smartphone Galaxy S,Electronique,1,799,0.0,799.0,Ile-de-France,Web,PayPal
100089,2025-04-23,CLI0190,Enceinte SoundBox,Electronique,3,89,0.0,267.0,Nouvelle-Aquitaine,Web,Carte
100090,2025-01-02,CLI0021,Set de couteaux ChefPro,Maison,1,69,0.0,69.0,Auvergne-Rhone-Alpes,Magasin,PayPal
100092,2025-08-13,CLI0287,Livre - Data Science,Culture,1,35,0.0,35.0,Hauts-de-France,Magasin,PayPal
100094,2025-06-21,CLI0084,T-shirt coton bio,Mode,1,25,0.0,25.0,Nouvelle-Aquitaine,Web,PayPal
100096,2025-11-20,CLI0211,Baskets running AirLite,Mode,1,89,0.0,89.0,Occitanie,Web,Carte
100097,2025-09-12,CLI0020,Creme hydratante,Beaute,2,22,0.0,44.0,Auvergne-Rhone-Alpes,Web,Cheque cadeau
100098,2025-04-08,CLI0117,Baskets running AirLite,Mode,1,89,0.0,89.0,Ile-de-France,Magasin,PayPal
100102,2025-07-20,CLI0329,Parfum Eau Fraiche,Beaute,1,55,0.0,55.0,Nouvelle-Aquitaine,Magasin,Virement
100103,2025-12-15,CLI0060,Veste impermeable,Mode,2,79,0.0,158.0,Auvergne-Rhone-Alpes,Magasin,Virement
100104,2025-12-12,CLI0306,Livre - Data Science,Culture,1,35,0.0,35.0,Occitanie,Magasin,Virement
100105,2025-12-18,CLI0262,Montre connectee FitWatch,Electronique,1,199,0.1,179.1,Nouvelle-Aquitaine,Magasin,PayPal
100106,2025-05-08,CLI0363,Livre - Data Science,Culture,1,35,0.0,35.0,Ile-de-France,Magasin,PayPal
100107,2025-09-24,CLI0036,Aspirateur robot CleanBot,Maison,1,299,0.0,299.0,Hauts-de-France,Mobile,Carte
100109,2025-10-25,CLI0159,Livre - Data Science,Culture,1,35,0.0,35.0,Occitanie,Mobile,Virement
100110,2025-12-12,CLI0099,Livre - Data Science,Culture,3,35,0.0,105.0,Bretagne,Mobile,PayPal
100112,2025-10-31,CLI0281,Smartphone Galaxy S,Electronique,3,799,0.0,2397.0,Occitanie,Mobile,PayPal
100113,2025-06-09,CLI0297,Aspirateur robot CleanBot,Maison,1,299,0.0,299.0,Nouvelle-Aquitaine,Mobile,Cheque cadeau
100115,2025-05-27,CLI0377,T-shirt coton bio,Mode,1,25,0.1,22.5,Bretagne,Web,Virement
100116,2025-06-01,CLI0325,Aspirateur robot CleanBot,Maison,1,299,0.1,269.1,Ile-de-France,Web,Virement
100118,2025-03-16,CLI0024,Baskets running AirLite,Mode,2,89,0.0,178.0,Nouvelle-Aquitaine,Magasin,Carte
100119,2025-04-14,CLI0323,Jean slim,Mode,1,59,0.0,59.0,Bretagne,Magasin,Cheque cadeau
100120,2025-04-09,CLI0125,Enceinte SoundBox,Electronique,3,89,0.0,267.0,Bretagne,Magasin,Carte
100121,2025-12-04,CLI0395,Montre connectee FitWatch,Electronique,1,199,0.0,199.0,PACA,Mobile,PayPal
100122,2025-06-18,CLI0357,Parfum Eau Fraiche,Beaute,1,55,0.0,55.0,Nouvelle-Aquitaine,Web,PayPal
100124,2025-10-31,CLI0069,Casse-tete 1000 pieces,Culture,1,19,0.0,19.0,Bretagne,Magasin,Virement
100129,2025-06-25,CLI0281,Casse-tete 1000 pieces,Culture,1,19,0.0,19.0,Auvergne-Rhone-Alpes,Magasin,Cheque cadeau
100133,2025-02-07,CLI0399,Parfum Eau Fraiche,Beaute,3,55,0.0,165.0,Nouvelle-Aquitaine,Magasin,PayPal
100134,2025-09-21,CLI0040,Cafetiere expresso,Maison,1,149,0.0,149.0,Auvergne-Rhone-Alpes,Mobile,Virement
100135,2025-10-13,CLI0277,Ordinateur portable UltraBook,Electronique,1,1099,0.0,1099.0,Auvergne-Rhone-Alpes,Web,PayPal
